nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
1,350559457,4767439021687332096,car,45,1,SPOC-120,TIC-350559457-1-SPOC-120
1,350559457,4767439021687332096,car,45,2,SPOC-120,TIC-350559457-2-SPOC-120
1,350559457,4767439021687332096,car,45,3,SPOC-120,TIC-350559457-3-SPOC-120
1,350559457,4767439021687332096,car,45,4,SPOC-120,TIC-350559457-4-SPOC-120
1,350559457,4767439021687332096,car,45,5,SPOC-120,TIC-350559457-5-SPOC-120
1,350559457,4767439021687332096,car,45,6,SPOC-120,TIC-350559457-6-SPOC-120
10,24604498,3209175447332278144,thor,3,6,FFI-30min,TIC-24604498-6-FFI-30min
11,158817023,3319628434087776000,thor,3,6,FFI-30min,TIC-158817023-6-FFI-30min
12,345772521,32410488806715098,thor,3,6,FFI-30min,TIC-345772521-6-FFI-30min
13,311272948,3339253170454118272,thor,4,6,FFI-30min,TIC-311272948-6-FFI-30min
14,200001428,3320524914022156288,thor,2,6,FFI-30min,TIC-200001428-6-FFI-30min
15,345773622,3238048652740273408,thor,3,6,FFI-30min,TIC-345773622-6-FFI-30min
16,389248164,3341538436653898240,thor,7,6,FFI-30min,TIC-389248164-6-FFI-30min
17,264461317,3221837251438378624,thor,3,6,FFI-30min,TIC-264461317-6-FFI-30min
18,389248318,3341556922194703232,thor,7,6,FFI-30min,TIC-389248318-6-FFI-30min
19,365637508,3237973752806799360,thor,3,6,SPOC-120,TIC-365637508-6-SPOC-120
20,365692367,3334165249117507968,thor,3,6,FFI-30min,TIC-365692367-6-FFI-30min
21,365744968,3337724677494561792,thor,3,6,FFI-30min,TIC-365744968-6-FFI-30min
22,365747298,3238063569162793472,thor,3,6,FFI-30min,TIC-365747298-6-FFI-30min
23,302417241,,thor,7,6,FFI-30min,TIC-302417241-6-FFI-30min
24,302417238,3389908598860532224,thor,7,6,FFI-30min,TIC-302417238-6-FFI-30min
25,365782379,3238015740407127936,thor,3,6,FFI-30min,TIC-365782379-6-FFI-30min
26,264679930,3221986647580887296,thor,3,6,FFI-30min,TIC-264679930-6-FFI-30min
27,138901588,3237712515716135936,thor,3,6,FFI-30min,TIC-138901588-6-FFI-30min
28,50745567,3216729878197029120,thor,3,6,SPOC-120,TIC-50745567-6-SPOC-120
29,52583022,3341238918520502912,Thor,7,6,FFI-30min,TIC-52583022-6-FFI-30min
30,52373764,3341625087618092672,thor,7,6,SPOC-120,TIC-52373764-6-SPOC-120
31,50745533,3216753556349327232,thor,3,6,FFI-30min,TIC-50745533-6-FFI-30min
32,436103626,3339935348702249472,thor,4,6,FFI-30min,TIC-436103626-6-FFI-30min
1,350559457,4767439021687332096,car,45,7,SPOC-120,TIC-350559457-7-SPOC-120
1,350559457,4767439021687332096,car,45,8,SPOC-120,TIC-350559457-8-SPOC-120
1,350559457,4767439021687332096,car,45,9,SPOC-120,TIC-350559457-9-SPOC-120
34,429152614,3485098646237003136,twa,7,9,SPOC-120,TIC-429152614-9-SPOC-120
36,29847084,5400050222210919680,twa,7,9,FFI-30min,TIC-29847084-9-FFI-30min
37,23325655,5452498541764280832,twa,5,9,SPOC-120,TIC-23325655-9-SPOC-120
38,20414865,3532218595001808768,twa,5,9,SPOC-120,TIC-20414865-9-SPOC-120
39,429152610,3485098646237003392,twa,7,9,SPOC-120,TIC-429152610-9-SPOC-120
43,272349442,5355751581627180288,twa,8,9,SPOC-120,TIC-272349442-9-SPOC-120
47,188172972,5470330146463996032,twa,5,9,FFI-30min,TIC-188172972-9-FFI-30min
52,54147487,5444751795151480320,twa,6,9,FFI-30min,TIC-54147487-9-FFI-30min
55,71029363,,twa,8,9,SPOC-120,TIC-71029363-9-SPOC-120
58,102462453,5414158429569765632,twa,6,9,FFI-30min,TIC-102462453-9-FFI-30min
59,151764983,,twa,7,9,SPOC-120,TIC-151764983-9-SPOC-120
1,350559457,4767439021687332096,car,45,10,SPOC-120,TIC-350559457-10-SPOC-120
33,152176559,5396105586807802880,twa,5,10,SPOC-120,TIC-152176559-10-SPOC-120
34,429152614,3485098646237003136,twa,7,10,FFI-30min,TIC-429152614-10-FFI-30min
35,57513388,5398663566249861120,twa,6,10,SPOC-120,TIC-57513388-10-SPOC-120
36,29847084,5400050222210919680,twa,7,10,FFI-30min,TIC-29847084-10-FFI-30min
39,429152610,3485098646237003392,twa,7,10,FFI-30min,TIC-429152610-10-FFI-30min
40,130722957,,twa,4,10,SPOC-120,TIC-130722957-10-SPOC-120
41,144221008,6147117722735170176,twa,4,10,FFI-30min,TIC-144221008-10-FFI-30min
42,142391477,3466308095597260032,twa,6,10,SPOC-120,TIC-142391477-10-SPOC-120
43,272349442,5355751581627180288,twa,8,10,SPOC-120,TIC-272349442-10-SPOC-120
44,144221039,6147119548096085376,twa,5,10,FFI-30min,TIC-144221039-10-FFI-30min
45,144155582,6146107993101452160,twa,5,10,SPOC-120,TIC-144155582-10-SPOC-120
46,134976537,6151330196594603648,twa,6,10,FFI-30min,TIC-134976537-10-FFI-30min
48,404012623,6128493718050020096,twa,7,10,SPOC-120,TIC-404012623-10-SPOC-120
49,404012628,6128493752409759744,twa,7,10,FFI-30min,TIC-404012628-10-FFI-30min
50,91474691,5348165127505382400,twa,7,10,FFI-30min,TIC-91474691-10-FFI-30min
51,72564426,6132146982868270976,twa,6,10,SPOC-120,TIC-72564426-10-SPOC-120
53,389253973,5378040370245563008,twa,7,10,SPOC-120,TIC-389253973-10-SPOC-120
54,142173958,3465944500845668224,twa,5,10,SPOC-120,TIC-142173958-10-SPOC-120
56,180258068,3567379121431731328,twa,4,10,SPOC-120,TIC-180258068-10-SPOC-120
57,345135733,3463395519358168064,twa,6,10,SPOC-120,TIC-345135733-10-SPOC-120
58,102462453,5414158429569765632,twa,6,10,FFI-30min,TIC-102462453-10-FFI-30min
59,151764983,,twa,7,10,SPOC-120,TIC-151764983-10-SPOC-120
1,350559457,4767439021687332096,car,45,11,SPOC-120,TIC-350559457-11-SPOC-120
2,360558208,5838713408461840256,epsc,7,11,FFI-30min,TIC-360558208-11-FFI-30min
3,327549481,5855642348500099072,epsc,7,11,FFI-30min,TIC-327549481-11-FFI-30min
4,454335224,5227840175588831744,epsc,6,11,SPOC-120,TIC-454335224-11-SPOC-120
5,410981941,5233403459606590720,epsc,6,11,FFI-30min,TIC-410981941-11-FFI-30min
48,404012623,6128493718050020096,twa,7,11,FFI-30min,TIC-404012623-11-FFI-30min
49,404012628,6128493752409759744,twa,7,11,FFI-30min,TIC-404012628-11-FFI-30min
60,243412695,6111552614685208064,twa,4,11,FFI-30min,TIC-243412695-11-FFI-30min
1,350559457,4767439021687332096,car,45,12,SPOC-120,TIC-350559457-12-SPOC-120
2,360558208,5838713408461840256,epsc,7,12,FFI-30min,TIC-360558208-12-FFI-30min
4,454335224,5227840175588831744,epsc,6,12,SPOC-120,TIC-454335224-12-SPOC-120
5,410981941,5233403459606590720,epsc,6,12,FFI-30min,TIC-410981941-12-FFI-30min
1,350559457,4767439021687332096,car,45,13,SPOC-120,TIC-350559457-13-SPOC-120
1,350559457,4767439021687332096,car,45,27,SPOC-120,TIC-350559457-27-SPOC-120
1,350559457,4767439021687332096,car,45,28,SPOC-120,TIC-350559457-28-SPOC-120
1,350559457,4767439021687332096,car,45,29,SPOC-120,TIC-350559457-29-SPOC-120
1,350559457,4767439021687332096,car,45,30,SPOC-120,TIC-350559457-30-SPOC-120
1,350559457,4767439021687332096,car,45,31,SPOC-120,TIC-350559457-31-SPOC-120
1,350559457,4767439021687332096,car,45,32,SPOC-120,TIC-350559457-32-SPOC-120
6,408134420,3387055125667571968,thor,2,32,FFI-10min,TIC-408134420-32-FFI-10min
7,284905551,3338707537810168448,thor,2,32,FFI-10min,TIC-284905551-32-FFI-10min
8,373494637,3386885525999518976,thor,3,32,FFI-10min,TIC-373494637-32-FFI-10min
9,449260853,3237508762467678336,thor,2,32,FFI-10min,TIC-449260853-32-FFI-10min
10,24604498,3209175447332278144,thor,3,32,FFI-10min,TIC-24604498-32-FFI-10min
12,345772521,32410488806715098,thor,3,32,FFI-10min,TIC-345772521-32-FFI-10min
13,311272948,3339253170454118272,thor,4,32,FFI-10min,TIC-311272948-32-FFI-10min
15,345773622,3238048652740273408,thor,3,32,FFI-10min,TIC-345773622-32-FFI-10min
17,264461317,3221837251438378624,thor,3,32,FFI-10min,TIC-264461317-32-FFI-10min
19,365637508,3237973752806799360,thor,3,32,SPOC-120,TIC-365637508-32-SPOC-120
20,365692367,3334165249117507968,thor,3,32,FFI-10min,TIC-365692367-32-FFI-10min
21,365744968,3337724677494561792,thor,3,32,FFI-10min,TIC-365744968-32-FFI-10min
22,365747298,3238063569162793472,thor,3,32,FFI-10min,TIC-365747298-32-FFI-10min
23,302417241,,thor,7,32,FFI-10min,TIC-302417241-32-FFI-10min
24,302417238,3389908598860532224,thor,7,32,SPOC-120,TIC-302417238-32-SPOC-120
25,365782379,3238015740407127936,thor,3,32,FFI-10min,TIC-365782379-32-FFI-10min
26,264679930,3221986647580887296,thor,3,32,FFI-10min,TIC-264679930-32-FFI-10min
27,138901588,3237712515716135936,thor,3,32,FFI-10min,TIC-138901588-32-FFI-10min
28,50745567,3216729878197029120,thor,3,32,SPOC-120,TIC-50745567-32-SPOC-120
31,50745533,3216753556349327232,thor,3,32,FFI-10min,TIC-50745533-32-FFI-10min
1,350559457,4767439021687332096,car,45,33,SPOC-120,TIC-350559457-33-SPOC-120
11,158817023,3319628434087776000,thor,3,33,FFI-10min,TIC-158817023-33-FFI-10min
1,350559457,4767439021687332096,car,45,34,SPOC-120,TIC-350559457-34-SPOC-120
1,350559457,4767439021687332096,car,45,35,SPOC-120,TIC-350559457-35-SPOC-120
55,71029363,,twa,8,35,SPOC-120,TIC-71029363-35-SPOC-120
1,350559457,4767439021687332096,car,45,36,SPOC-120,TIC-350559457-36-SPOC-120
33,152176559,5396105586807802880,twa,5,36,SPOC-120,TIC-152176559-36-SPOC-120
34,429152614,3485098646237003136,twa,7,36,SPOC-120,TIC-429152614-36-SPOC-120
35,57513388,5398663566249861120,twa,6,36,SPOC-120,TIC-57513388-36-SPOC-120
36,29847084,5400050222210919680,twa,7,36,FFI-10min,TIC-29847084-36-FFI-10min
37,23325655,5452498541764280832,twa,5,36,SPOC-120,TIC-23325655-36-SPOC-120
38,20414865,3532218595001808768,twa,5,36,SPOC-120,TIC-20414865-36-SPOC-120
39,429152610,3485098646237003392,twa,7,36,SPOC-120,TIC-429152610-36-SPOC-120
43,272349442,5355751581627180288,twa,8,36,SPOC-120,TIC-272349442-36-SPOC-120
47,188172972,5470330146463996032,twa,5,36,FFI-10min,TIC-188172972-36-FFI-10min
52,54147487,5444751795151480320,twa,6,36,SPOC-120,TIC-54147487-36-SPOC-120
55,71029363,,twa,8,36,SPOC-120,TIC-71029363-36-SPOC-120
56,180258068,3567379121431731328,twa,4,36,SPOC-120,TIC-180258068-36-SPOC-120
58,102462453,5414158429569765632,twa,6,36,FFI-10min,TIC-102462453-36-FFI-10min
59,151764983,,twa,7,36,SPOC-120,TIC-151764983-36-SPOC-120
1,350559457,4767439021687332096,car,45,37,SPOC-120,TIC-350559457-37-SPOC-120
4,454335224,5227840175588831744,epsc,6,37,FFI-10min,TIC-454335224-37-FFI-10min
5,410981941,5233403459606590720,epsc,6,37,FFI-10min,TIC-410981941-37-FFI-10min
40,130722957,,twa,4,37,SPOC-120,TIC-130722957-37-SPOC-120
41,144221008,6147117722735170176,twa,4,37,FFI-10min,TIC-144221008-37-FFI-10min
42,142391477,3466308095597260032,twa,6,37,SPOC-120,TIC-142391477-37-SPOC-120
43,272349442,5355751581627180288,twa,8,37,SPOC-120,TIC-272349442-37-SPOC-120
44,144221039,6147119548096085376,twa,5,37,FFI-10min,TIC-144221039-37-FFI-10min
45,144155582,6146107993101452160,twa,5,37,SPOC-120,TIC-144155582-37-SPOC-120
46,134976537,6151330196594603648,twa,6,37,FFI-10min,TIC-134976537-37-FFI-10min
48,404012623,6128493718050020096,twa,7,37,SPOC-120,TIC-404012623-37-SPOC-120
49,404012628,6128493752409759744,twa,7,37,FFI-10min,TIC-404012628-37-FFI-10min
50,91474691,5348165127505382400,twa,7,37,FFI-10min,TIC-91474691-37-FFI-10min
51,72564426,6132146982868270976,twa,6,37,SPOC-120,TIC-72564426-37-SPOC-120
53,389253973,5378040370245563008,twa,7,37,FFI-10min,TIC-389253973-37-FFI-10min
54,142173958,3465944500845668224,twa,5,37,SPOC-120,TIC-142173958-37-SPOC-120
57,345135733,3463395519358168064,twa,6,37,SPOC-120,TIC-345135733-37-SPOC-120
1,350559457,4767439021687332096,car,45,38,SPOC-120,TIC-350559457-38-SPOC-120
2,360558208,5838713408461840256,epsc,7,38,FFI-10min,TIC-360558208-38-FFI-10min
3,327549481,5855642348500099072,epsc,7,38,FFI-10min,TIC-327549481-38-FFI-10min
4,454335224,5227840175588831744,epsc,6,38,FFI-10min,TIC-454335224-38-FFI-10min
5,410981941,5233403459606590720,epsc,6,38,FFI-10min,TIC-410981941-38-FFI-10min
60,243412695,6111552614685208064,twa,4,38,FFI-10min,TIC-243412695-38-FFI-10min
1,350559457,4767439021687332096,car,45,39,FFI-10min,TIC-350559457-39-FFI-10min
2,360558208,5838713408461840256,epsc,7,39,FFI-10min,TIC-360558208-39-FFI-10min
16,389248164,3341538436653898240,thor,7,43,FFI-10min,TIC-389248164-43-FFI-10min
18,389248318,3341556922194703232,thor,7,43,SPOC-120,TIC-389248318-43-SPOC-120
23,302417241,,thor,7,43,SPOC-120,TIC-302417241-43-SPOC-120
24,302417238,3389908598860532224,thor,7,43,SPOC-120,TIC-302417238-43-SPOC-120
29,52583022,3341238918520502912,Thor,7,43,SPOC-120,TIC-52583022-43-SPOC-120
30,52373764,3341625087618092672,thor,7,43,SPOC-120,TIC-52373764-43-SPOC-120
16,389248164,3341538436653898240,thor,7,44,FFI-10min,TIC-389248164-44-FFI-10min
18,389248318,3341556922194703232,thor,7,44,SPOC-120,TIC-389248318-44-SPOC-120
23,302417241,,thor,7,44,SPOC-120,TIC-302417241-44-SPOC-120
24,302417238,3389908598860532224,thor,7,44,SPOC-120,TIC-302417238-44-SPOC-120
29,52583022,3341238918520502912,Thor,7,44,SPOC-120,TIC-52583022-44-SPOC-120
30,52373764,3341625087618092672,thor,7,44,SPOC-120,TIC-52373764-44-SPOC-120
16,389248164,3341538436653898240,thor,7,45,FFI-10min,TIC-389248164-45-FFI-10min
18,389248318,3341556922194703232,thor,7,45,SPOC-120,TIC-389248318-45-SPOC-120
23,302417241,,thor,7,45,SPOC-120,TIC-302417241-45-SPOC-120
24,302417238,3389908598860532224,thor,7,45,SPOC-120,TIC-302417238-45-SPOC-120
29,52583022,3341238918520502912,Thor,7,45,SPOC-120,TIC-52583022-45-SPOC-120
30,52373764,3341625087618092672,thor,7,45,SPOC-120,TIC-52373764-45-SPOC-120
