pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Campaign 6,Campaign 7,Campaign 8,Campaign 9,Campaign 10,Campaign 11,Campaign 12,Campaign 13,Campaign 14,Campaign 15
52,330560000,6089681782226103680,,1.3899,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-330560000-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-330560000-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-330560000-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,211513644,6091694403899673728,,0.6336,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-211513644-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-211513644-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,242407571,6095898695842130048,,0.4722,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-242407571-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-242407571-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-242407571-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,127866051,6097896886432620160,,0.7988,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-127866051-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127866051-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127866051-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,127246012,6099073363870236800,,0.4274,0.1069,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-127246012-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127246012-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127246012-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,129309458,6100482559819865856,,0.5533,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-129309458-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-129309458-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-129309458-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,127309526,6102553352528751104,,0.217,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-127309526-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127309526-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-127309526-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,241884143,6103443682068685696,,0.2695,0.6399,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-241884143-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-241884143-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-241884143-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,243499565,6106993554140699520,,1.1947,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-243499565-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243499565-38-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243499565-64-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,243449997,6107289533226214400,,0.3827,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-243449997-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243449997-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243449997-64-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,243611773,6108669214161311616,,0.349,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-243611773-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243611773-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243611773-64-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,243381460,6111548074901230080,,0.3684,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-243381460-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-243381460-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,179367270,6117102949382766976,,2.6435,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-179367270-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-179367270-38-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-179367270-64-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,248145126,6135268015342940928,,0.3504,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,TIC-248145126-10-FFI-30min,TIC-248145126-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-248145126-37-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-248145126-64-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,135162879,6148164290302297600,,0.3775,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,TIC-135162879-10-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-135162879-37-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-135162879-64-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,121840452,6197960106773771776,,0.3787,0.205,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-121840452-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-121840452-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-121840452-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,461643692,6204205642057395456,,0.4115,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-461643692-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-461643692-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-461643692-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,272398365,6207552413714047488,,0.4841,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-272398365-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-272398365-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-272398365-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,440686535,64933037865353600,211013604,0.4627,,Pleiades,125,Rebull_2016,Rebull,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-440686535-42-SPOC-120,TIC-440686535-43-SPOC-120,TIC-440686535-44-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-440686535-70-FFI-200s,TIC-440686535-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-211013604-4-EVEREST-1800,,,,,,,,,,,
71,440690770,64933621980897536,211016654,0.2671,0.1702,Pleiades,125,Rebull_2016,Rebull,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-440690770-42-FFI-10min,TIC-440690770-43-FFI-10min,TIC-440690770-44-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-440690770-70-SPOC-120,TIC-440690770-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-211016654-4-EVEREST-1800,,,,,,,,,,,
72,67768181,65232757863112192,211047687,0.3049,0.2016,Pleiades,125,Rebull_2016,Rebull,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-67768181-42-SPOC-120,TIC-67768181-43-SPOC-120,TIC-67768181-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-67768181-70-SPOC-120,TIC-67768181-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-211047687-4-EVEREST-1800,,,,,,,,,,,
73,14334105,65910602485240576,211057712,0.2775,0.3514,Pleiades,125,Rebull_2016,Rebull,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-14334105-43-FFI-10min,TIC-14334105-44-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-14334105-70-FFI-200s,TIC-14334105-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-211057712-4-EVEREST-1800,,,,,,,,,,,
74,353927317,68183331674900864,211070495,0.606,,Pleiades,125,Rebull_2016,Rebull,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-353927317-42-SPOC-120,TIC-353927317-43-SPOC-120,TIC-353927317-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-353927317-70-FFI-200s,TIC-353927317-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-211070495-4-EVEREST-1800,,,,,,,,,,,
75,165184400,5046815924054174848,,0.66321,,Tucana-Horologium,40,Popinchalk_2023,Popinchalk,2023,,,TIC-165184400-3-FFI-30min,TIC-165184400-4-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-165184400-30-SPOC-120,TIC-165184400-31-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-165184400-97-FFI-200s,,,,,,,,,,,,,,,,,
76,465268712,5239392538122310400,,0.31898,,IC 2602,40,Popinchalk_2024,Popinchalk,2024,,,,,,,,,,TIC-465268712-10-FFI-30min,TIC-465268712-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-465268712-37-FFI-10min,TIC-465268712-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-465268712-64-FFI-200s,TIC-465268712-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,TIC-465268712-90-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,
77,370829038,5247506723457135104,,0.35479,,IC 2602,40,Popinchalk_2024,Popinchalk,2024,,,,,,,,,TIC-370829038-9-FFI-30min,TIC-370829038-10-FFI-30min,TIC-370829038-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,TIC-370829038-36-FFI-10min,TIC-370829038-37-FFI-10min,TIC-370829038-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,TIC-370829038-63-FFI-200s,TIC-370829038-64-FFI-200s,TIC-370829038-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,TIC-370829038-90-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,
78,342456426,5319023224634030464,,0.39463,,CIC 2602,40,Popinchalk_2024,Popinchalk,2024,,,,,,,,TIC-342456426-8-FFI-30min,TIC-342456426-9-FFI-30min,TIC-342456426-10-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,TIC-342456426-34-FFI-10min,TIC-342456426-35-FFI-10min,TIC-342456426-36-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,TIC-342456426-61-SPOC-120,TIC-342456426-62-SPOC-120,TIC-342456426-63-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,TIC-342456426-88-SPOC-120,TIC-342456426-89-SPOC-120,TIC-342456426-90-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,
79,92740519,5321261452356605440,,0.47108,,Theia 92,,Popinchalk_2024,Popinchalk,2024,,,,,,,,TIC-92740519-8-FFI-30min,TIC-92740519-9-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-92740519-35-FFI-10min,TIC-92740519-36-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,TIC-92740519-61-FFI-200s,TIC-92740519-62-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-92740519-88-FFI-200s,TIC-92740519-89-SPOC-120,TIC-92740519-90-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,
80,353730181,144329975098261504,,0.56291667,,Taurus,2,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-353730181-43-SPOC-120,TIC-353730181-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-353730181-70-SPOC-120,TIC-353730181-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,368129164,1450067137649786752,,0.26833333,0.10833333,AB Doradus moving group,149,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,TIC-368129164-23-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-368129164-50-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-368129164-77-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,267953787,149327461604161408,,0.7275,,Taurus,2,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-267953787-43-SPOC-120,TIC-267953787-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-267953787-70-SPOC-120,TIC-267953787-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,59836633,154779286930692352,,0.62333333,,Beta Pic moving group,24,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59836633-43-SPOC-120,TIC-59836633-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-59836633-71-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2234692,181104928193233408,,0.27166667,2.49166667,Columba,42,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,TIC-2234692-19-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,TIC-2234692-43-SPOC-120,TIC-2234692-44-SPOC-120,TIC-2234692-45-SPOC-120,,,,,,,,,,,,,,TIC-2234692-59-FFI-200s,,,,,,,,,,,,TIC-2234692-71-SPOC-120,,TIC-2234692-73-SPOC-120,,,,,,,,,,,,,TIC-2234692-86-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,332517282,2330466915715754112,,0.40291667,,AB Doradus moving group,149,Zhan_2019,Zhan,2019,,TIC-332517282-2-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-332517282-29-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-332517282-69-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-332517282-96-FFI-200s,,,,,,,,,,,,,,,,,,
86,146539195,2962794236080240128,,0.28041667,0.30375,Beta Pic moving group,24,Bouma_2024,Bouma,2024,,,,,TIC-146539195-5-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-146539195-32-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,264599508,3156962079670742528,,0.32916667,0.37458333,Columba,42,Bouma_2024,Bouma,2024,,,,,,,TIC-264599508-7-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-264599508-33-SPOC-120,,,,,,,,,,,TIC-264599508-44-SPOC-120,TIC-264599508-45-SPOC-120,TIC-264599508-46-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,TIC-264599508-71-SPOC-120,TIC-264599508-72-SPOC-120,,,,,,,,,,,,,,,TIC-264599508-87-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,50745567,3216729878197029120,,0.26416667,1.18958333,Beta Pic moving group,24,Bouma_2024,Bouma,2024,,,,,,TIC-50745567-6-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-50745567-32-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,38539720,3244410500033689728,,0.38166667,,Pisces-Eridani,120,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-38539720-31-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,311092148,3274291270411229056,,0.3275,,Columba,42,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-311092148-31-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,68812630,3408524670748967808,,0.37666667,0.22,Taurus,2,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-68812630-43-SPOC-120,TIC-68812630-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-68812630-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,118449916,3410376454489356416,,0.51291667,0.27958333,Taurus,2,Bouma_2024,Bouma,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-118449916-43-SPOC-120,TIC-118449916-44-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-118449916-70-SPOC-120,TIC-118449916-71-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,142173958,3465944500845668224,,0.49,0.535,TW Hydrae association,10,Bouma_2024,Bouma,2024,,,,,,,,,,TIC-142173958-10-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-142173958-37-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-142173958-90-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,
94,193831684,4042180300005971200,,1.2925,,Beta Pic moving group,24,Bouma_2024,Bouma,2024,,,,,,,,,,,,,TIC-193831684-13-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-193831684-39-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-193831684-66-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,TIC-193831684-91-SPOC-120,TIC-193831684-92-SPOC-120,TIC-193831684-93-SPOC-120,,,,,,,,,,,,,,,,,,,,,
95,38820496,4703815338965472768,,0.65541667,,Tucana-Horologium,40,Zhan_2019,Zhan,2019,TIC-38820496-1-SPOC-120,TIC-38820496-2-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,TIC-38820496-27-SPOC-120,TIC-38820496-28-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-38820496-67-FFI-200s,TIC-38820496-68-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-38820496-95-SPOC-120,TIC-38820496-96-SPOC-120,,,,,,,,,,,,,,,,,,
96,201898222,4741424237273655040,,0.44583333,0.5675,Tucana-Horologium,40,Bouma_2024,Bouma,2024,,TIC-201898222-2-SPOC-120,TIC-201898222-3-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201898222-29-SPOC-120,TIC-201898222-30-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201898222-69-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201898222-96-SPOC-120,TIC-201898222-97-FFI-200s,,,,,,,,,,,,,,,,,
97,201789285,4742436853122727040,,0.15166667,,Tucana-Horologium,40,Zhan_2019,Zhan,2019,,TIC-201789285-2-SPOC-120,TIC-201789285-3-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201789285-29-SPOC-120,TIC-201789285-30-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201789285-69-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-201789285-96-SPOC-120,TIC-201789285-97-FFI-200s,,,,,,,,,,,,,,,,,
98,144486786,4809722429257648768,,0.28416667,0.47875,Columba,42,Bouma_2024,Bouma,2024,,,,,TIC-144486786-5-SPOC-120,TIC-144486786-6-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-144486786-32-SPOC-120,TIC-144486786-33-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-144486786-87-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,425937691,4900780511935295872,,0.20083333,0.13416667,Tucana-Horologium,40,Zhan_2019,Zhan,2019,TIC-425937691-1-SPOC-120,TIC-425937691-2-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425937691-28-SPOC-120,TIC-425937691-29-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425937691-68-SPOC-120,TIC-425937691-69-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425937691-95-SPOC-120,TIC-425937691-96-SPOC-120,,,,,,,,,,,,,,,,,,
100,425933644,4905813212878537216,,0.48625,,Tucana-Horologium,40,Zhan_2019,Zhan,2019,TIC-425933644-1-SPOC-120,TIC-425933644-2-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425933644-28-SPOC-120,TIC-425933644-29-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425933644-68-SPOC-120,TIC-425933644-69-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-425933644-95-SPOC-120,TIC-425933644-96-SPOC-120,,,,,,,,,,,,,,,,,,
101,206544316,4909009394396454144,,0.32208333,,Tucana-Horologium,40,Zhan_2019,Zhan,2019,TIC-206544316-1-SPOC-120,TIC-206544316-2-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-206544316-28-SPOC-120,TIC-206544316-29-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-206544316-68-SPOC-120,TIC-206544316-69-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-206544316-95-SPOC-120,TIC-206544316-96-SPOC-120,,,,,,,,,,,,,,,,,,
102,178155030,5050451154310013056,,0.48625,,Tucana-Horologium,40,Bouma_2024,Bouma,2024,,,TIC-178155030-3-SPOC-120,TIC-178155030-4-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-178155030-30-SPOC-120,TIC-178155030-31-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-178155030-97-FFI-200s,,,,,,,,,,,,,,,,,
